GF,inhibition,percent.change.area
veh,veh,0.186028875
veh,veh,0.191357275
veh,veh,0.203408878
veh,veh,0.223840316
veh,veh,0.226221061
veh,VP,0.13830915
veh,VP,0.14608357
veh,VP,0.150929781
veh,VP,0.17813138
veh,VP,0.178394632
veh,VP,0.182205222
veh,VP,0.183393914
CYR61,veh,0.106740355
CYR61,veh,0.154734827
CYR61,veh,0.093442615
CYR61,veh,0.167478218
CYR61,VP,0.187605594
CYR61,VP,0.150181516
CYR61,VP,0.21102937
CYR61,VP,0.1473112
CYR61,VP,0.122748149
CYR61,VP,0.178353568
CYR61,VP,0.197976658
CYR61,VP,0.189801007
CYR61,VP,0.231005067
CYR61,VP,0.163990233
CYR61,VP,0.20266236
CTGF,veh,0.092887538
CTGF,veh,0.095039526
CTGF,veh,0.099197597
CTGF,veh,0.12563477
CTGF,veh,0.127826575
CTGF,veh,0.207302657
CTGF,veh,0.260078108
CTGF,VP,0.133679077
CTGF,VP,0.136596497
CTGF,VP,0.16835301
CTGF,VP,0.170963051
CTGF,VP,0.175004131
CTGF,VP,0.176125925
CTGF,VP,0.183591954
CTGF,VP,0.183796206
CTGF,VP,0.227149388
BDNF_high,veh,0.23852538
BDNF_high,veh,0.246865453
BDNF_high,veh,0.253390338
BDNF_high,VP,0.166565287
BDNF_high,VP,0.184793583
BDNF_high,VP,0.209921704
BDNF_high,VP,0.232334402
BDNF_high,VP,0.233567434
BDNF_high,VP,0.319167254
BDNF_high,VP,0.353741334
