Group,ddctBDNF,linearBDNF,ddctMST,linMST,ddctWWTR1,linWWTR1,ddctCTGF.1,linCTGF.1,ddctCYR61,linCYR61,ddctYAP,linYAP
no scratch veh,-0.472666667,1.387672062,-0.136666667,1.099362113,-0.130333333,1.094546566,-0.484,1.398616083,-0.752,1.684125907,-0.516666667,1.430645932
no scratch veh,-0.109333333,1.078729642,0.043333333,0.970410231,0.009666667,0.993321975,-0.177333333,1.130791805,-0.145333333,1.105986161,0.13,0.91383145
no scratch veh,0.097333333,0.934759198,,,-0.653666667,1.573161371,0.339333333,0.790406473,0.271333333,0.828553446,-0.306666667,1.236846673
no scratch veh,0.150666667,0.900834093,-0.026666667,1.01865581,0.324666667,0.798482854,0.189333333,0.877010893,0.238,0.847919965,0.213333333,0.862542032
no scratch veh,0.334,0.793333843,0.12,0.920187651,0.449666667,0.732212005,0.132666667,0.912143891,0.388,0.76418826,0.48,0.716977624
no scratch VP,-1.022666667,2.031670816,,,-1.763666667,3.395600345,-0.829,1.776453592,-0.088666667,1.06338695,-1.386666667,2.614738494
no scratch VP,-0.872666667,1.831044263,0.423333333,0.7456997,-1.053666667,2.075798874,-0.624,1.541142217,0.148,0.902500727,-0.323333333,1.251218139
no scratch VP,-0.726,1.654046737,0.376666667,0.770215111,-0.438666667,1.355351138,0.091,0.938871747,0.668,0.629378587,-0.316666667,1.245449622
no scratch VP,-0.542666667,1.456662515,0.8,0.574349177,-0.637,1.555092072,-0.650666667,1.569893473,0.504666667,0.704823207,-0.73,1.658639092
no scratch VP,-0.299333333,1.230575635,0.423333333,0.7456997,-0.068666667,1.048746988,0.176,0.885153765,0.898,0.536630143,-0.243333333,1.183724489
scratch veh,-1.511,2.850075228,0.276666667,0.825496117,-1.665333333,3.171869319,-1.619,3.071620539,-1.667,3.175535724,-1.088333333,2.126282568
scratch veh,-1.132666667,2.192636512,0.06,0.959264119,-1.430333333,2.69508978,-1.510666667,2.849416797,-1.712,3.276146791,-1.256666667,2.38943027
scratch veh,-1.016,2.022304162,0.143333333,0.905424761,-0.670333333,1.591440626,-1.800666667,3.483811744,-1.862,3.635112466,-0.956666667,1.940820463
scratch veh,-0.979333333,1.971554147,0.64,0.641712949,-1.387,2.615342697,-1.167333333,2.245961712,-1.195333333,2.289977357,-0.363333333,1.286394669
scratch veh,-0.732666667,1.661707743,0.83,0.562529242,-0.507,1.421092043,-0.727333333,1.655576107,-0.982,1.975201723,-0.16,1.117287138
scratch veh,-0.542666667,1.456662515,0.296666667,0.814131268,-0.932,1.907919101,-0.722333333,1.649848249,-0.887,1.849326556,-0.265,1.20163605
scratch VP,-1.429333333,2.693222333,0.88,0.543367431,-0.993666667,1.991239379,-1.410666667,2.658599878,-0.902,1.868654694,-1.376666667,2.596677176
scratch VP,-0.806,1.748357241,-0.453333333,1.369200129,-0.815333333,1.759704683,-1.004,2.005552872,-0.835333333,1.784269245,-0.803333333,1.745128575
scratch VP,-0.696,1.620006947,0.616666667,0.652176035,1.343,0.394200087,-1.007333333,2.01019204,-0.565333333,1.47972936,-0.643333333,1.561933827
scratch VP,-0.549333333,1.463409301,0.62,0.650670928,-0.880333333,1.840800567,-0.844,1.795020101,-0.855333333,1.809176715,-0.393333333,1.313424556
scratch VP,-0.054333333,1.038379159,0.446666667,0.733736182,-0.272,1.207480591,-0.172333333,1.126879563,-0.447,1.363202607,-0.075,1.053361036
scratch VP,-0.022666667,1.015835408,0.396666667,0.759611332,-0.460333333,1.375859673,-0.007333333,1.00509602,-0.152,1.111108729,0.11,0.926588062
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,, ,,
